20170722192316.wav,US,'zx5cw',Accepted,'4.92989's
20170722192324.wav,US,'ltt9h',Accepted,'5.35434's
20170722192332.wav,US,'pmulz',Accepted,'5.20125's
20170722192340.wav,US,'0ql1S',Accepted,'5.24162's
20170722192348.wav,US,'t9hbf',Accepted,'4.96558's
20170722192356.wav,US,'oxwpw',Accepted,'5.24657's
20170722192404.wav,US,'a5ii9',Accepted,'5.189's
20170722192412.wav,US,'f5aeb',Accepted,'5.1732's
20170722192420.wav,US,'epfna',Accepted,'5.5374's
20170722192428.wav,US,'vt7ro',Accepted,'5.37132's
20170722192436.wav,US,'4v58z',Accepted,'4.78888's
20170722192444.wav,US,'cmzuc',Accepted,'4.96417's
20170722192452.wav,US,'nkqor',Accepted,'5.67998's
20170722192500.wav,US,'9vp7o',Accepted,'5.28208's
20170722192509.wav,US,'nz0uv',Accepted,'4.95256's
20170722192517.wav,US,'m3ltb',Accepted,'4.92616's
20170722192524.wav,US,'981rd',Accepted,'4.96753's
20170722192533.wav,US,'a6uqz',Accepted,'4.97469's
20170722192540.wav,US,'8qaf6',Accepted,'5.60049's
20170722192549.wav,US,'nag3S',Accepted,'5.4458's
20170722192557.wav,US,'a209j',Accepted,'5.43135's
20170722192605.wav,US,'frpw2',Accepted,'5.94569's
20170722192613.wav,US,'Sr47u',Accepted,'5.07128's
20170722192622.wav,US,'ub50t',Accepted,'4.82348's
20170722192629.wav,US,'n3laq',Accepted,'4.87409's
20170722192637.wav,US,'2gwep',Accepted,'5.05869's
20170722192644.wav,US,'taiSp',Accepted,'5.61499's
20170722192653.wav,US,'2iivc',Accepted,'5.06806's
20170722192701.wav,US,'8i61w',Accepted,'5.09308's
20170722192709.wav,US,'9e2wk',Accepted,'5.02274's
20170722192717.wav,US,'t1pon',Accepted,'5.24356's
20170722192725.wav,US,'c0d2k',Accepted,'5.01194's
20170722192733.wav,US,'8Sp3k',Accepted,'5.22754's
20170722192741.wav,US,'g5qd5',Accepted,'5.40605's
20170722192750.wav,US,'kb1fx',Accepted,'5.16041's
20170722192802.wav,US,'laecr',Accepted,'5.32336's
20170722192810.wav,US,'obvl0',Accepted,'5.17188's
20170722192819.wav,US,'zf5vm',NotAccepted,'5.01645's
20170722192827.wav,US,'em6eu',Accepted,'5.11386's
20170722192835.wav,US,'gabbt',Accepted,'4.81197's
20170722192842.wav,US,'n9pro',Accepted,'5.35822's
20170722192850.wav,US,'pqupo',Accepted,'5.61218's
20170722192859.wav,US,'pwzbn',Accepted,'5.1427's
20170722192907.wav,US,'eamu2',Accepted,'5.09293's
20170722192919.wav,US,'ycy0p',Accepted,'4.75843's
20170722192927.wav,US,'rx0ih',Accepted,'5.63032's
20170722192935.wav,US,'nacir',Accepted,'5.36421's
20170722192943.wav,US,'f05li',Accepted,'5.738's
20170722192952.wav,US,'pg50p',Accepted,'5.49834's
20170722193000.wav,US,'ejft5',Accepted,'5.19301's
20170722193008.wav,US,'42n7p',Accepted,'4.95013's
20170722193016.wav,US,'u9pSt',Accepted,'5.1147's
20170722193024.wav,US,'S3zr0',Accepted,'5.50877's
20170722193032.wav,US,'zykmg',Accepted,'5.07738's
20170722193040.wav,US,'bwl79',Accepted,'4.83349's
20170722193048.wav,US,'7r0gx',Accepted,'4.92003's
20170722193056.wav,US,'tcax7',Accepted,'5.16888's
20170722193103.wav,US,'2S3hn',Accepted,'5.11342's
20170722193111.wav,US,'7xki4',Accepted,'5.1008's
20170722193119.wav,US,'z98v3',NotAccepted,'5.28207's
